CONGRESSMAN,,,,Polit@,POLIT,Role,
EMPEROR,,,,Polit@,POLIT,Role,
FELLOW#2,,,,,,Role,
GENTLEMEN,,,,,,Role,
GENUINE,,,,,,Role,
GUSTO,,,,,,Role,
GYMNAST,,,,,,Role,
HEROIC,,,,,,Role,
HORTICULTURE,,,,,,Role,
HOSTESS,,,,,,Role,
KINGDOM,,,,Polit@,POLIT,Role,
LOSE#1,,,,,,Role,
MALI,,,,,,Role,
MAN#2,,,,,,Role,
MARRIAGE,,,,,,Role,
MASS#1,,,,,,Role,
MENACE,,,,,,Role,
MISTOOK,,,,,,Role,
MRS.,,,,,,Role,
POLICEMEN,,,Legal,,POLIT,Role,
POLICY,,ECON,,,POLIT,Role,
POPULAR,,,,,,Role,
PRINCESS,,,,,,Role,
SALESMANSHIP,Econ@,,,,,Role,
SALINE,,,,,,Role,
SISTER,,,,,,Role,
STATESMEN,,,,Polit@,POLIT,Role,
STATIC,,,,,,Role,
STUDENT,,,,,,Role,
FEMININE,,,,,,Role,
FENCE#1,,,,,,Role,
GIVE#1,,,,,,Role,
GODLIKE,,,,,,Role,
HEROISM,,,,,,Role,
LAG,,,,,,Role,
MADE#1,,,,,,Role,
MAIDEN,,,,,,Role,
MISS#3,,,,,,Role,
MS.,,,,,,Role,
MUCH,,,,,,Role,
QUEER,,,,,,Role,
SPIRIT#1,,,,,,Role,
WENT#1,,,,,,Role,
WITCH#2,,,,,,Role,
WOMB,,,,,,Role,
WON,,,,,,Role,
ACQUAINTANCE,,,,,,Role,
ADMINISTRATOR,,ECON,,,POLIT,Role,
ADULT#1,,,,,,Role,
ADVISER,,,,,,Role,
ADVISOR,,,,,,Role,
ADVOCATE#1,,,Legal,,POLIT,Role,
AGE#2,,,,,,Role,
AGENT,,,Legal,,,Role,
AIDE,,,,,POLIT,Role,
ALCOHOLIC,,,,,,Role,
ALIEN,,,,,POLIT,Role,
ALLY#1,,,,Polit@,POLIT,Role,
AMATEUR,,,,,,Role,
AMBASSADOR,,,,Polit@,POLIT,Role,
ANGEL,,,,,,Role,
APPLICANT,,,,,,Role,
ARCHITECT,,,,,,Role,
ARISTOCRACY,Econ@,,,,,Role,
ARISTOCRAT,Econ@,,,,,Role,
ARTIST,,,,,,Role,
ASSESSOR,,ECON,,,,Role,
ASSISTANT,,,,,,Role,
ASSOCIATE#1,Econ@,ECON,,,,Role,
ATTACKER,,,,,,Role,
ATTENDANT,,,,,,Role,
ATTORNEY,,ECON,Legal,,POLIT,Role,
AUDITOR,Econ@,ECON,Legal,,,Role,
AUTHOR,,,,,,Role,
AUTHORITARIAN,,,,,POLIT,Role,
BABY#1,,,,,,Role,
BABY#2,Econ@,,,,,Role,
BACKER,Econ@,,,,,Role,
BAKER,Econ@,,,,,Role,
BANKER,Econ@,ECON,,,,Role,
BARBER,Econ@,,,,,Role,
BARD,,,,,,Role,
BASTARD,,,,,,Role,
BEARER,,,,,,Role,
BEGINNER,,,,,,Role,
BEING#2,,,,,,Role,
BELIEVER,,,,,,Role,
BENEFACTOR,Econ@,,,,,Role,
BENEFICIARY,Econ@,,,,,Role,
BEREFT,,,,,,Role,
BISHOP,,,,,,Role,
BLIND#1,,,,,,Role,
BOARDER,Econ@,,,,,Role,
BOATSWAIN,Econ@,,,,,Role,
BOSS,Econ@,ECON,,,,Role,
BOXER,,,,,,Role,
BROKER,Econ@,ECON,,,,Role,
BUILDER,Econ@,,,,,Role,
BUTCHER,Econ@,,,,,Role,
